category,storage_type,shelf_life_days,days_remaining_at_purchase,days_until_expiry,risk_level
5,1,10,7,7,High
3,1,11,9,7,Medium
0,2,7,7,4,Low
3,1,5,4,4,Low
0,2,5,5,5,Medium
7,1,2,1,0,High
0,2,5,5,3,Medium
6,1,10,9,9,Medium
2,1,14,12,10,Low
6,1,13,10,7,Medium
8,1,2,1,0,High
5,1,8,8,6,Low
4,0,354,348,347,Low
8,1,6,6,4,Medium
1,1,13,10,8,Low
1,1,26,18,17,High
1,1,28,28,26,Low
2,1,8,6,3,Medium
5,1,4,4,2,High
0,2,3,2,1,Low
2,1,22,17,16,High
7,1,2,1,0,High
5,1,7,6,6,High
0,2,3,2,2,Medium
7,0,4,4,2,High
6,1,12,11,9,Medium
0,2,5,5,2,Medium
0,2,7,6,3,Medium
0,2,3,2,2,Low
2,1,13,12,11,Medium
7,1,3,2,0,High
6,2,10,7,5,High
7,1,2,1,0,High
8,0,3,3,1,High
7,1,4,3,2,Medium
8,0,2,2,0,Low
4,0,230,215,213,High
0,2,5,4,2,Low
4,0,360,346,344,Medium
4,0,115,77,77,Medium
1,1,22,20,18,High
4,0,136,130,129,Low
8,1,6,5,5,High
1,1,14,14,12,Medium
2,1,16,12,12,High
3,1,12,12,10,Medium
6,1,13,13,10,Low
8,1,2,1,0,High
7,0,4,3,2,High
5,1,6,4,3,High
8,1,5,5,4,High
3,1,7,6,5,High
0,2,3,2,0,High
5,0,7,7,5,Low
2,1,19,16,15,Medium
8,0,7,6,3,Medium
2,1,7,5,3,Medium
6,1,4,4,4,Low
6,1,16,16,15,Low
1,1,19,16,13,High
4,0,235,194,193,Medium
4,0,263,221,218,Low
2,1,23,19,19,Low
1,1,29,27,25,Low
6,2,21,14,11,Low
4,0,85,64,62,Low
1,1,22,21,20,Medium
2,1,30,30,27,Medium
7,1,2,1,0,High
7,1,3,3,2,High
2,1,27,26,23,Medium
1,1,22,20,20,Medium
3,1,12,10,9,High
1,1,24,23,21,High
5,1,7,6,3,Low
1,1,14,12,10,High
3,1,9,7,4,Medium
1,1,22,18,17,Medium
7,1,2,2,1,Low
0,2,2,2,0,Medium
8,1,3,2,0,High
5,0,5,4,2,Medium
0,2,6,5,2,Low
6,2,10,10,8,Low
5,1,7,5,4,High
4,0,142,98,97,Medium
6,2,15,10,9,High
1,1,28,23,22,Low
8,1,6,5,4,Low
2,1,23,22,21,High
8,0,2,1,0,High
7,1,5,5,5,High
6,1,4,3,2,Medium
2,0,13,13,12,Medium
8,1,7,7,6,High
6,1,19,15,14,Low
6,2,7,6,6,High
3,1,12,12,10,High
6,1,15,11,11,Medium
8,0,4,4,3,High
5,0,10,9,8,High
1,1,12,10,9,Low
3,1,8,6,6,High
2,1,15,15,15,Medium
1,1,28,27,27,Medium
8,1,3,3,1,Medium
0,2,3,2,2,Low
5,0,8,6,6,Medium
6,1,15,10,9,Medium
3,1,7,5,2,High
5,1,3,3,3,Medium
5,1,5,4,2,High
1,1,26,26,24,High
5,1,10,7,4,Medium
5,1,4,4,2,Medium
8,0,3,2,1,Medium
7,1,4,4,4,High
6,1,4,3,1,Low
7,1,1,1,0,Medium
2,1,7,5,3,Medium
7,1,4,3,2,Low
0,2,5,4,1,High
2,1,9,8,6,Low
3,1,8,6,5,High
0,2,4,4,4,Medium
0,2,6,4,2,High
4,0,198,173,173,High
0,2,2,2,0,Medium
5,1,3,2,0,Medium
6,1,4,3,2,Medium
5,1,4,3,3,High
8,1,5,4,3,Medium
2,1,19,17,15,Medium
8,1,3,2,1,High
2,1,20,18,15,Low
6,2,5,4,1,High
5,1,9,9,7,Medium
6,1,10,8,6,Low
3,1,11,11,9,Medium
5,1,4,3,2,High
1,1,20,19,16,Low
6,1,20,19,16,Low
8,0,4,3,3,Medium
4,0,247,228,225,Low
0,2,4,3,1,Medium
2,1,5,5,3,Medium
1,1,26,19,19,Low
8,0,5,5,4,High
4,0,337,255,255,Medium
0,2,5,4,4,Medium
8,1,5,4,3,Medium
5,1,5,4,2,Low
4,0,227,202,199,Medium
1,1,22,15,14,Low
2,1,21,15,15,Medium
2,1,21,17,16,Low
1,1,11,10,7,Medium
1,1,11,8,5,High
6,1,11,10,8,Low
6,1,13,9,8,Medium
4,0,193,167,166,Low
2,1,16,11,8,High
5,1,8,8,5,High
4,0,98,97,96,Low
6,1,3,3,3,Medium
2,1,23,20,18,Low
3,1,14,10,7,Low
5,0,5,5,5,High
5,0,4,3,0,High
0,2,2,1,1,High
3,1,13,10,7,Medium
3,1,8,6,3,High
1,1,15,15,12,Low
7,1,3,2,0,High
3,1,8,8,7,Low
4,0,255,204,204,Medium
1,1,28,21,21,Low
8,1,4,4,2,Low
4,0,145,133,131,High
1,1,18,18,16,High
0,2,6,5,2,Low
2,1,22,22,22,Low
8,0,7,7,4,High
6,1,10,7,5,High
0,2,6,5,4,Low
2,1,6,4,3,Low
5,1,7,7,7,Low
5,1,6,5,2,Low
5,1,7,6,3,Low
2,1,10,7,6,Medium
0,2,3,3,0,Low
7,1,1,1,0,Low
5,1,8,6,3,High
4,0,355,352,351,Low
1,1,18,18,15,Medium
3,1,9,8,7,Medium
4,0,210,154,153,Low
6,1,4,3,2,Medium
1,1,17,17,16,Low
1,1,25,19,18,High
0,2,4,3,0,Medium
2,1,18,14,12,Low
1,1,22,17,17,Low
7,1,3,2,2,Medium
6,1,7,5,3,High
2,1,16,14,12,High
7,1,1,1,0,Low
2,1,15,15,15,Medium
3,1,9,9,9,Low
7,1,2,2,0,Low
7,1,5,4,4,Low
3,1,8,6,5,High
1,1,18,13,12,Low
4,0,273,266,266,High
5,1,5,5,3,High
8,0,4,3,0,Medium
3,0,6,5,5,Low
2,1,18,14,11,Medium
0,2,2,2,0,Low
6,1,16,11,10,High
8,1,2,2,0,Low
2,1,26,19,18,High
0,2,4,3,1,High
2,1,11,9,6,Low
0,2,7,5,5,Low
6,1,19,17,14,High
3,1,8,7,6,Low
5,1,7,6,4,Low
4,0,286,241,240,Low
4,0,293,205,204,High
3,1,8,8,8,Medium
5,1,4,4,1,High
5,1,9,8,5,Medium
4,0,296,259,259,Medium
0,2,4,4,2,Low
1,1,19,17,14,Low
2,1,15,11,11,High
5,1,8,8,6,Medium
2,1,16,15,14,Medium
6,1,16,13,13,High
0,2,4,3,3,Medium
2,1,22,18,16,High
1,1,7,7,7,Low
7,1,5,4,1,High
2,1,19,13,11,Medium
4,0,298,260,257,High
7,1,5,4,2,Medium
2,1,22,16,16,Medium
8,1,3,3,2,Medium
1,1,21,16,15,Medium
8,0,6,6,3,High
1,1,17,14,13,Medium
3,1,8,6,5,Medium
3,1,8,6,3,High
3,1,7,7,7,Medium
6,2,15,14,12,Low
7,1,5,5,3,Medium
6,1,19,14,14,Low
4,0,106,105,102,Low
3,1,7,7,6,Medium
7,1,3,2,0,Low
7,1,4,3,1,High
5,0,5,5,2,Low
4,0,217,208,206,Medium
7,1,1,0,0,High
7,1,1,1,0,Low
0,2,7,5,4,High
7,1,3,3,0,High
0,2,5,4,3,Medium
7,1,4,4,2,Low
5,0,8,8,8,High
1,1,21,18,15,Medium
3,1,9,8,5,High
0,2,3,3,3,Medium
5,1,9,7,5,Medium
7,1,1,0,0,High
2,1,7,5,3,Medium
0,2,5,4,3,Low
2,1,30,30,27,High
0,2,5,4,2,Medium
7,1,2,2,1,Low
6,1,19,13,10,Medium
3,1,9,9,8,Low
1,1,19,18,18,Low
1,1,19,15,14,High
5,1,3,2,2,Medium
4,0,138,102,100,Low
8,0,6,4,1,Medium
6,2,16,12,12,High
8,1,6,4,3,High
5,1,9,9,7,High
3,1,11,11,8,Low
7,1,3,2,0,High
8,0,5,4,1,Medium
5,1,6,6,5,Low
4,0,282,213,211,Medium
6,1,18,18,18,Low
1,1,18,13,13,Medium
6,1,12,8,8,High
5,1,8,6,6,Low
0,2,5,4,2,High
2,1,12,10,8,Medium
7,1,4,3,0,Medium
6,2,9,9,7,High
3,1,13,10,7,High
3,1,14,13,10,Medium
4,0,259,253,251,Low
6,1,20,19,16,Low
6,2,20,14,13,High
8,0,2,2,0,Medium
5,1,6,5,5,High
4,0,97,91,90,Medium
4,0,305,206,205,High
7,1,3,2,2,High
0,2,4,3,1,Medium
3,1,6,5,5,Low
0,2,3,3,1,Low
4,0,242,194,193,Low
8,1,2,2,2,Low
6,1,18,14,11,High
7,1,5,4,1,High
5,0,10,9,7,High
1,1,19,17,16,Low
2,1,13,12,9,Low
0,2,7,7,6,Medium
8,1,5,5,5,Medium
1,2,29,27,24,High
1,1,10,10,10,Medium
1,1,9,6,4,Low
2,1,22,20,18,High
1,1,15,15,15,Low
3,1,6,5,4,Low
1,1,18,17,17,Low
7,1,4,4,1,Low
0,2,5,5,3,Low
8,1,4,3,3,Medium
6,1,12,9,6,Low
4,0,253,214,211,Low
2,1,11,11,9,High
4,0,63,54,54,Low
5,0,10,9,7,High
7,1,4,4,2,High
2,1,10,7,7,Medium
4,0,125,115,113,Medium
7,1,4,4,2,Medium
1,1,11,9,8,Medium
6,1,6,5,2,Low
3,1,6,5,3,High
8,1,6,4,3,High
4,0,179,145,144,Medium
4,0,263,247,245,High
5,0,3,2,0,High
3,1,5,4,4,High
3,1,3,3,3,High
3,1,11,10,7,Medium
7,1,5,5,2,High
7,1,5,4,4,Medium
0,2,5,4,1,Low
3,1,12,11,9,High
7,1,4,4,1,Medium
2,1,8,7,4,Medium
4,0,82,78,78,Medium
7,1,5,4,1,Medium
6,1,4,3,1,High
3,1,8,7,6,Low
3,1,8,8,7,High
1,1,9,6,5,High
7,1,3,2,1,High
8,1,5,4,4,High
8,1,4,3,2,High
2,1,10,7,6,High
3,1,14,14,14,Low
8,1,5,5,4,High
3,1,8,7,7,High
1,1,26,26,26,Medium
5,0,4,3,3,Low
3,1,7,6,5,Low
8,0,4,3,0,Medium
0,2,5,5,5,Medium
3,1,5,4,3,Low
4,0,244,184,182,Low
2,1,10,7,5,Medium
3,1,9,8,6,Low
0,2,5,4,2,High
4,0,111,74,72,Medium
1,1,17,15,12,Medium
2,1,14,11,10,Medium
4,0,142,104,103,Low
0,2,7,5,5,High
7,1,3,3,1,High
3,1,10,7,6,Medium
3,1,7,7,5,Medium
4,0,217,196,193,Medium
1,1,15,14,12,High
3,0,6,4,1,High
5,1,3,3,3,Medium
2,1,22,19,17,Medium
3,1,11,10,9,High
2,1,14,12,9,Medium
3,1,6,6,6,Low
1,1,7,6,3,Medium
5,0,9,7,5,High
3,1,11,11,9,High
4,0,284,192,190,Low
8,0,7,7,6,High
7,1,5,5,4,Low
1,1,25,23,20,Medium
5,1,4,4,1,Low
4,0,112,87,84,High
1,1,24,21,21,Low
6,1,21,17,17,Medium
1,1,11,8,8,High
6,1,15,15,14,Medium
6,1,14,11,11,High
2,1,29,27,25,High
7,0,4,4,4,High
5,1,9,8,5,High
1,1,22,17,15,Low
6,1,5,4,2,Low
5,0,6,6,3,Medium
5,1,3,3,2,Low
7,1,3,2,0,Low
3,1,6,5,2,Medium
5,0,3,2,2,High
4,0,216,165,163,Medium
1,1,29,20,17,Medium
3,1,11,11,10,Medium
5,1,5,5,5,Low
3,1,5,5,3,Low
8,0,6,5,5,High
2,1,22,15,14,High
4,0,115,104,104,Low
6,1,3,3,3,Medium
3,1,9,6,5,High
6,2,4,4,1,Low
7,1,5,4,4,Medium
5,1,7,7,4,Low
1,1,25,19,17,Low
5,1,4,4,3,Medium
7,1,3,3,3,Medium
0,2,6,4,2,Low
0,2,2,1,0,High
8,0,4,4,4,High
5,1,8,6,4,High
7,1,4,3,0,High
4,0,99,66,66,High
1,1,15,13,13,High
7,1,1,1,1,Medium
6,1,9,9,7,Medium
6,1,5,4,1,High
4,0,142,138,135,Low
2,1,8,7,6,Low
3,1,10,10,8,Low
3,1,3,2,2,Medium
3,1,10,10,9,Medium
3,1,5,4,2,Medium
7,1,4,3,2,High
3,1,6,5,2,High
6,1,19,19,16,Medium
8,0,2,1,0,High
2,0,16,13,12,Low
5,1,7,6,6,Low
1,1,23,16,14,Low
8,0,2,2,0,High
3,1,11,10,10,Low
5,0,6,4,3,Medium
3,1,12,8,8,High
7,1,1,0,0,High
7,1,3,2,2,High
0,2,2,2,0,Medium
7,1,3,3,2,Medium
5,0,4,4,1,High
7,1,4,3,0,High
7,1,5,5,3,High
6,1,12,10,7,Medium
7,1,4,4,1,Medium
1,1,7,6,4,Medium
3,1,14,11,11,High
0,2,3,2,0,Low
7,1,3,2,2,High
3,1,7,5,3,Low
5,1,9,8,6,Medium
1,1,20,17,15,Medium
1,1,27,19,16,High
0,2,6,4,1,Medium
8,1,2,1,0,Low
5,0,10,10,10,Medium
7,1,1,0,0,High
6,1,13,9,7,Low
8,1,2,1,1,High
1,1,26,20,19,High
8,1,3,2,0,Medium
2,1,6,4,2,High
1,1,28,26,23,High
8,1,5,4,3,High
0,2,2,2,1,Low
5,1,7,6,5,Medium
3,1,8,7,6,Medium
2,1,14,10,8,Medium
0,2,4,4,4,Low
5,1,9,8,6,Medium
0,2,4,4,4,High
2,1,22,19,17,Medium
1,1,17,13,11,Medium
2,1,23,19,19,Medium
2,1,21,15,15,High
5,1,8,7,6,Medium
7,1,3,3,3,Low
6,1,21,16,13,Low
3,1,13,11,10,Medium
2,1,16,15,14,Medium
2,1,7,7,7,Low
0,2,5,4,2,High
1,1,29,28,25,Medium
8,0,7,6,3,Low
0,2,6,6,4,Medium
3,1,5,5,2,Low
0,2,5,4,4,Medium
1,1,30,20,19,Medium
1,1,30,27,24,Medium
3,1,6,4,3,High
6,1,8,6,4,High
3,1,9,6,4,High
0,2,5,5,5,Medium
5,1,9,9,6,High
4,0,95,78,75,Medium
5,1,10,7,4,High
2,1,25,19,18,Low
1,1,30,22,20,Medium
3,1,3,2,0,Low
0,2,3,2,0,Medium
7,1,2,1,0,High
3,1,10,10,9,Medium
3,1,5,4,4,High
6,1,19,14,11,Medium
0,2,4,4,3,Low
8,1,5,4,2,Low
6,1,7,6,6,Medium
5,1,3,3,0,Low
1,1,9,8,6,Medium
1,1,19,15,15,Medium
0,2,4,4,4,Low
1,1,21,19,19,Medium
0,2,4,4,3,Medium
3,1,4,4,3,Medium
1,1,20,14,13,High
6,1,3,3,2,Low
2,1,20,19,17,Medium
2,1,18,12,11,High
5,1,9,8,6,Low
8,1,6,6,3,Low
6,2,4,4,2,High
6,1,5,5,3,Medium
7,1,4,3,3,Medium
8,1,3,3,2,High
7,1,3,2,2,Medium
6,1,21,19,18,Low
4,0,261,203,201,Medium
7,1,5,5,4,Medium
8,0,7,7,6,High
4,0,336,253,252,Medium
6,1,21,19,19,Low
8,1,2,2,0,High
3,1,11,10,8,Medium
1,1,16,14,12,Medium
0,2,2,1,0,High
8,1,2,2,0,Medium
1,1,23,20,19,Medium
3,1,8,8,7,Low
1,1,26,23,20,Low
6,1,5,4,4,High
3,1,8,8,7,Medium
7,1,2,1,0,High
8,0,7,6,3,Medium
1,1,27,25,24,Low
1,1,27,24,24,Medium
7,1,4,3,3,Low
2,1,19,13,11,High
3,1,11,8,8,Medium
7,1,4,3,1,Low
5,1,9,9,8,Medium
7,1,5,4,4,High
4,0,318,251,249,Medium
0,2,7,5,5,Medium
6,1,11,10,9,Medium
6,2,5,5,5,High
1,1,22,20,17,Low
5,1,10,7,5,High
4,0,258,188,186,Low
4,0,291,230,230,Medium
3,1,5,4,3,Low
3,1,11,10,10,Low
3,1,7,6,5,High
7,1,3,3,2,High
6,1,14,13,11,Medium
6,1,20,20,17,High
0,2,5,4,2,High
8,1,5,5,4,Low
2,1,8,7,7,Low
7,1,2,1,0,High
4,0,231,213,212,Low
5,0,10,7,6,High
0,2,3,3,2,Medium
0,2,3,2,0,Low
8,0,4,3,1,Low
0,2,3,3,2,Low
0,2,4,4,2,Low
2,1,7,5,5,High
5,1,4,4,3,Low
2,1,6,4,3,Medium
1,1,28,27,25,Medium
7,1,4,3,1,Medium
0,2,4,4,2,Low
4,0,73,61,61,High
2,1,24,23,20,Medium
8,1,2,1,0,High
4,0,134,113,111,High
2,1,8,7,5,Low
2,1,8,8,6,Medium
0,2,7,6,6,Medium
7,1,5,5,2,Low
2,1,11,10,9,Medium
7,1,4,3,3,High
1,1,26,25,23,Low
3,1,6,6,4,Medium
7,1,2,1,0,Medium
5,1,9,6,4,High
2,1,7,5,3,Low
4,0,91,83,80,Low
1,1,19,15,12,Low
1,1,23,21,21,High
0,2,4,3,2,Medium
2,1,7,6,3,High
0,2,2,2,1,Low
7,1,4,4,2,High
5,1,3,2,1,Medium
2,1,21,18,15,Medium
8,1,2,1,0,High
0,2,3,3,2,Medium
7,1,5,4,1,Medium
8,0,5,5,3,Medium
5,1,3,3,3,Low
7,1,5,4,2,Medium
1,1,7,5,4,High
1,1,21,17,17,Low
7,1,2,2,0,Low
6,1,3,3,0,Medium
7,1,5,4,2,High
4,0,225,200,199,Low
4,0,289,227,224,Low
7,1,2,2,0,High
7,1,4,4,1,Low
4,0,185,125,125,Low
3,1,14,11,11,Medium
8,0,5,5,2,Low
0,2,3,2,0,High
1,1,27,19,17,High
6,1,9,9,8,High
8,0,2,1,0,High
7,1,1,1,0,High
8,0,5,5,4,Low
3,1,14,13,12,High
1,1,19,15,12,Medium
1,1,16,12,10,Medium
5,1,7,5,5,Medium
1,1,7,6,5,High
1,1,16,12,11,Low
2,1,26,18,17,High
6,1,14,11,10,Low
2,1,15,11,11,High
0,2,3,2,1,Medium
7,1,1,1,0,High
2,1,15,15,14,Low
5,1,4,3,3,Medium
4,0,337,249,249,Medium
0,2,6,4,3,Low
4,0,168,165,165,Low
5,1,6,4,4,High
4,0,145,115,114,Low
6,1,12,9,8,Low
5,1,4,4,3,Low
3,1,9,7,6,High
4,0,259,203,200,High
0,2,7,5,5,High
8,1,7,6,4,Low
8,0,4,4,1,Low
5,1,3,2,1,Low
2,1,22,21,19,Medium
7,1,5,4,4,High
4,0,174,165,165,High
8,1,7,6,4,High
6,1,12,12,12,Medium
2,1,28,20,20,High
2,1,7,7,6,Medium
6,2,10,10,10,Low
0,2,6,6,5,Low
6,1,9,9,7,High
7,1,4,3,0,Medium
1,1,16,12,12,Medium
5,0,5,5,5,High
6,1,12,8,7,High
8,0,7,5,2,Low
6,1,3,2,1,Low
7,1,1,1,1,High
1,1,11,8,8,Medium
5,1,9,9,7,Medium
5,0,3,3,2,High
2,1,12,10,9,Low
8,1,2,2,2,Medium
0,2,5,5,5,Medium
4,0,228,208,205,Medium
2,1,18,14,13,High
5,1,7,6,5,High
5,1,10,9,6,Low
4,0,276,234,231,Low
8,0,4,3,2,High
8,0,3,2,0,High
1,1,29,21,21,Medium
1,1,12,12,11,Medium
2,1,20,16,16,Low
0,2,3,2,2,High
7,1,1,1,0,Medium
0,2,2,1,0,Medium
6,1,12,9,8,High
1,1,29,23,21,Medium
0,2,4,3,0,Low
0,2,2,1,0,High
6,1,14,13,10,Low
8,0,7,7,5,High
6,1,17,13,13,High
8,1,2,1,0,High
8,0,7,6,4,Medium
8,0,3,3,3,Medium
1,1,23,22,22,High
2,1,8,8,8,Medium
7,1,1,1,1,High
4,0,101,79,79,Low
1,1,14,10,7,High
3,1,9,6,6,Low
0,2,3,3,2,Low
2,1,15,11,8,Low
6,1,12,10,7,Low
3,1,13,11,10,Medium
6,1,20,20,18,Low
4,0,329,233,232,Medium
1,1,9,6,5,Medium
8,0,7,7,4,High
6,1,19,17,17,Low
8,1,3,3,1,High
0,2,7,5,4,Medium
0,2,6,6,4,Low
1,1,29,25,22,Low
0,2,5,4,3,High
1,1,28,19,16,High
4,0,95,64,63,Low
8,0,2,2,1,Low
1,1,25,19,18,Medium
5,1,3,3,1,Medium
0,2,6,5,2,Medium
1,1,22,21,20,Medium
3,1,13,10,7,Low
6,1,14,11,11,High
6,1,14,11,9,Medium
8,1,5,4,4,Low
7,1,1,1,0,Low
7,1,1,0,0,High
8,1,6,6,3,Low
8,0,6,4,4,High
5,0,7,5,3,Medium
2,1,18,18,17,Medium
1,1,27,19,18,Medium
7,1,3,2,0,High
0,2,5,4,4,Medium
4,0,249,185,182,Low
7,1,4,4,3,High
0,2,7,6,3,Medium
2,1,16,13,13,Low
0,2,3,3,2,Low
7,1,4,3,2,Low
3,1,8,8,5,High
0,2,3,2,1,Medium
2,1,19,18,16,Medium
7,1,1,1,0,Medium
4,0,71,66,64,Medium
6,2,12,11,8,High
8,1,5,4,2,Medium
7,1,1,1,1,Low
6,1,10,10,7,Medium
4,0,360,298,296,Low
1,1,11,10,9,Low
3,1,5,5,5,Low
8,0,3,2,0,High
0,2,3,2,0,High
0,2,3,3,2,Low
6,1,19,15,13,Medium
5,1,5,4,4,High
0,2,4,3,1,Low
5,0,5,4,4,Medium
5,0,8,6,6,High
4,0,306,257,256,High
8,1,3,2,0,High
7,1,2,1,1,Low
0,2,4,3,1,Low
4,0,287,228,227,Low
4,0,120,107,105,Medium
2,1,6,4,3,High
1,1,7,7,6,Low
5,1,3,3,1,Low
2,1,18,17,17,High
3,1,13,12,11,High
0,2,3,3,0,Low
7,1,2,1,1,High
1,1,14,13,11,Low
5,1,3,2,0,Medium
6,2,3,3,0,Medium
7,1,5,5,3,Low
3,1,6,6,5,Low
0,2,2,2,0,Low
8,0,7,6,5,High
2,1,15,10,10,Medium
3,1,13,9,9,Medium
8,1,2,1,1,High
1,1,30,21,20,Medium
8,0,5,4,4,Medium
8,0,2,1,0,High
8,0,2,2,1,Low
5,1,7,7,5,High
7,1,2,2,0,Medium
0,2,7,6,4,Medium
3,1,9,9,8,Low
5,1,5,4,4,High
1,1,28,27,25,Low
6,1,17,12,10,Low
0,2,5,4,2,High
8,1,4,3,3,High
8,0,3,2,2,High
1,1,8,7,5,Medium
8,1,6,5,4,Low
2,1,14,13,12,Low
4,0,321,319,319,Low
5,1,5,4,3,High
2,1,15,13,10,Low
3,1,12,11,9,High
5,1,10,7,6,High
3,1,12,8,6,High
0,2,5,5,2,Medium
3,1,8,6,6,High
8,1,2,2,0,Low
5,1,10,9,9,Low
7,1,1,0,0,High
7,1,5,5,4,Medium
1,1,29,26,24,Medium
3,1,9,8,6,High
2,1,29,24,24,Low
8,1,6,6,3,Low
8,0,5,4,3,Medium
1,1,18,12,10,Low
0,2,7,6,3,Low
7,0,2,1,0,High
7,1,1,0,0,High
0,2,4,3,2,Low
1,1,24,18,17,Medium
5,0,7,6,6,Medium
1,1,14,13,13,Low
6,1,3,3,3,Medium
6,1,19,18,16,Low
8,1,4,3,0,Medium
2,1,20,17,16,Low
4,0,282,202,201,High
1,1,22,16,14,Medium
5,1,8,8,6,Medium
7,1,5,4,4,High
1,1,28,28,26,Medium
1,1,30,28,28,Medium
6,2,14,11,8,Low
1,1,15,13,12,High
2,1,9,6,3,Medium
5,1,8,8,8,Low
0,2,5,5,4,Medium
1,1,18,13,11,High
3,1,9,9,7,Low
4,0,206,206,206,Low
6,1,3,2,1,High
3,1,3,3,1,High
2,1,10,7,7,Medium
8,0,3,3,0,Medium
1,1,24,18,16,Medium
1,1,19,18,16,Low
8,0,6,4,3,High
5,1,4,4,1,High
4,0,118,108,107,Medium
8,0,6,4,4,High
4,0,199,139,139,Medium
0,2,3,2,1,Low
0,2,6,5,5,Low
4,0,163,151,151,Low
4,0,301,253,250,Low
7,1,3,2,1,High
6,1,16,13,12,Low
4,0,102,98,98,Low
4,0,323,291,291,Low
2,1,16,11,9,High
8,1,2,1,1,Medium
0,2,3,2,1,Low
6,1,19,18,17,Low
0,2,7,5,4,Low
7,0,5,5,2,High
3,1,5,4,4,Low
4,0,84,71,70,Low
4,0,94,75,74,High
4,0,148,141,139,Low
6,1,21,15,14,Medium
4,0,114,78,75,Low
1,1,18,18,18,Medium
0,2,7,6,3,Medium
4,0,267,224,222,Low
0,2,4,3,1,High
0,2,5,4,3,Medium
6,1,6,6,5,High
8,1,5,5,3,High
8,1,3,3,1,Medium
5,0,4,4,2,High
3,1,9,6,6,High
1,1,16,14,12,Low
6,2,19,14,12,High
5,1,4,4,1,Medium
0,2,5,4,4,Medium
5,1,8,7,5,High
1,1,24,18,17,High
4,0,160,154,151,High
4,0,299,223,220,Low
6,1,13,10,10,High
8,0,3,2,2,High
6,2,15,12,11,Low
6,1,4,3,1,Medium
7,1,1,1,0,High
3,1,4,3,2,High
7,1,2,1,1,Medium
3,1,7,6,3,High
2,1,13,10,7,Low
3,1,14,14,11,Low
8,0,5,4,4,High
5,1,5,4,1,Low
5,1,4,4,1,High
3,0,7,6,3,High
8,0,5,4,1,High
0,2,4,4,1,Low
1,1,25,21,19,High
7,1,5,5,3,Low
5,0,10,8,5,Medium
8,1,5,4,4,Medium
2,1,25,18,15,Low
3,1,6,6,5,Low
4,0,285,228,228,Low
4,0,315,300,300,Medium
4,0,270,192,191,Medium
6,1,4,4,3,Medium
1,1,27,22,20,Low
4,0,354,290,290,Low
2,1,19,18,16,Medium
4,0,98,73,72,Medium
6,1,17,16,13,High
2,1,17,12,12,High
2,1,29,29,26,Low
2,1,14,13,10,Low
4,0,365,353,351,Medium
5,0,7,6,5,High
6,1,16,15,14,Low
8,0,7,7,4,Medium
7,1,1,0,0,High
3,1,8,6,4,Medium
0,2,6,6,3,Medium
6,1,15,15,15,Low
0,2,6,6,5,High
4,0,107,95,92,Low
0,2,4,4,3,Low
6,1,19,13,12,Low
5,1,9,7,7,Medium
4,0,189,165,165,Low
6,1,12,8,5,Low
6,1,4,4,2,Medium
0,2,2,2,0,Low
0,2,7,7,5,Medium
5,1,9,7,5,Medium
2,1,9,8,8,Medium
5,1,4,3,1,High
8,0,3,2,0,High
7,1,4,4,4,Low
0,2,7,6,5,Low
5,1,3,2,0,High
1,1,23,16,16,Low
1,1,18,12,12,Low
7,1,2,2,1,Low
6,1,9,8,8,Medium
5,0,5,4,1,High
0,2,4,3,1,Medium
0,2,4,4,4,Low
8,1,5,4,2,Medium
0,2,4,3,1,High
8,1,4,3,3,Medium
0,2,5,4,3,Medium
5,1,4,4,1,Low
6,1,7,5,3,Medium
3,1,8,8,8,Medium
1,1,23,16,15,Low
0,2,6,5,5,Medium
5,1,5,4,1,Medium
8,1,3,2,1,Medium
2,1,28,25,24,High
4,0,84,78,76,High
4,0,71,56,54,Medium
6,1,5,4,3,Low
8,1,7,5,2,Medium
8,1,5,4,3,High
4,0,113,93,92,Low
0,2,6,6,6,Medium
7,1,1,0,0,High
2,1,8,8,5,Medium
5,1,6,5,3,Medium
0,2,3,3,2,Low
3,1,13,9,9,Medium
8,0,4,3,0,Low
1,1,25,18,16,High
8,1,7,7,7,Medium
5,1,6,5,4,Low
0,2,3,2,0,Low
8,0,7,7,6,High
0,2,5,4,3,Low
4,0,90,84,81,Low
0,2,5,5,3,Low
5,1,10,7,5,High
2,1,29,23,21,Medium
5,1,9,6,4,High
4,0,238,165,165,Low
5,1,5,5,3,Low
8,1,6,4,4,High
7,1,4,4,4,Low
4,0,195,170,167,Low
8,0,6,6,5,Medium
3,1,13,9,8,Medium
0,2,6,4,2,High
3,1,3,3,0,High
2,1,5,5,2,High
8,1,2,1,0,High
7,1,5,4,2,Medium
6,1,8,7,7,Low
3,1,7,5,5,Medium
7,1,3,3,3,Medium
1,1,30,21,21,Low
5,1,7,7,5,Low
2,1,23,22,20,Low
2,1,25,24,22,Low
7,1,2,1,0,Medium
3,0,5,4,1,High
6,2,8,8,6,High
1,1,17,12,10,Medium
5,1,7,5,4,High
3,1,10,10,9,High
4,0,206,187,185,Medium
4,0,75,57,55,High
6,1,17,13,10,Low
6,1,10,9,6,High
4,0,338,313,310,Low
4,0,219,211,210,Medium
8,0,4,4,1,High
1,1,25,22,20,Low
8,1,2,2,2,Medium
7,1,2,1,0,Medium
3,1,4,4,4,Low
7,1,1,0,0,High
2,1,21,16,16,High
3,1,9,6,4,High
1,1,21,18,16,Medium
